Accident.Number,Aircraft.Category,Aircraft.Destroyed,Aircraft.Type,Aircraft.damage,Amateur.Built,Broad.phase.of.flight,Country,Engine.Type,Event.Date,Event.Id,FAR.Description,Fatal.Serious,Fatal.Serious.Rate,Injury.Severity,Investigation.Type,Location,Make,Model,Number.of.Engines,Publication.Date,Purpose.of.flight,Registration.Number,Total.Fatal.Injuries,Total.Minor.Injuries,Total.People,Total.Serious.Injuries,Total.Uninjured,Weather.Condition
LAX83IA149A,Airplane,False,BOEING 747,Minor,No,TAXI,United States,TURBO FAN,1983-03-18,20001214X42478,Part 129: Foreign,0.0,0.0,Incident,Incident,"LOS ANGELES, CA",BOEING,747,4.0,04-12-2014,,9VSQQ,0.0,0.0,588.0,0.0,588.0,VMC
ATL83FA140,Airplane,True,PIPER PA-28-140,Destroyed,No,CRUISE,United States,RECIPROCATING,1983-03-20,20001214X42331,Part 91: General Aviation,2.0,1.0,Fatal(1),Accident,"CROSSVILLE, TN",PIPER,PA-28-140,1.0,02-05-2011,PERSONAL,N9600W,1.0,0.0,2.0,1.0,0.0,IMC
FTW83LA177,Airplane,False,DE HAVILLAND DHC-6,Unknown,No,STANDING,United States,TURBO PROP,1983-04-02,20001214X42672,Part 91: General Aviation,1.0,0.2,Fatal(1),Accident,"MCKINNEY, TX",DE HAVILLAND,DHC-6,2.0,17-10-2016,SKYDIVING,N927BA,1.0,0.0,5.0,0.0,4.0,VMC
CHI84IA041,Airplane,False,BOEING 727-200,Minor,No,TAXI,United States,TURBO FAN,1983-11-08,20001214X45013,Part 121: Air Carrier,0.0,0.0,Incident,Incident,"CHICAGO, IL",BOEING,727-200,3.0,11-06-2018,UNKNOWN,N898AA,0.0,0.0,100.0,0.0,100.0,VMC
NYC84LA028,Airplane,False,BEECH C35,Substantial,No,CLIMB,United States,RECIPROCATING,1983-11-13,20001214X45188,Part 91: General Aviation,0.0,0.0,Non-Fatal,Accident,"MARTHA'S VINEYARD, MA",BEECH,C35,1.0,05-05-2011,PERSONAL,N1882D,0.0,0.0,1.0,0.0,1.0,VMC
LAX84LA110,Airplane,False,CESSNA 180K,Substantial,No,TAKEOFF,United States,RECIPROCATING,1983-12-22,20001214X45339,Part 91: General Aviation,0.0,0.0,Non-Fatal,Accident,"SANTA ROSA ISLAND, CA",CESSNA,180K,1.0,01-02-2016,PERSONAL,N2697K,0.0,0.0,1.0,0.0,1.0,VMC
ATL84LA120,Airplane,False,BEECH 99,Substantial,No,LANDING,United States,TURBO PROP,1984-03-14,20001214X38957,Part 135: Air Taxi & Commuter,0.0,0.0,Non-Fatal,Accident,"MYRTLE BEACH, SC",BEECH,99,2.0,24-09-2018,UNKNOWN,N7994R,0.0,0.0,1.0,0.0,1.0,VMC
MIA84LA182,Airplane,False,PIPER PA-23-250,Substantial,No,APPROACH,United States,RECIPROCATING,1984-06-11,20001214X40033,Part 91: General Aviation,0.0,0.0,Non-Fatal,Accident,"FT. LAUDERDALE, FL",PIPER,PA-23-250,2.0,13-09-2011,PERSONAL,N29994,0.0,0.0,4.0,0.0,4.0,VMC
MKC84FA197,Airplane,True,PIPER PA-18-150,Destroyed,No,MANEUVERING,United States,RECIPROCATING,1984-07-03,20001214X40407,Part 137: Agricultural,1.0,1.0,Fatal(1),Accident,"WRIGHT, AR",PIPER,PA-18-150,1.0,15-12-2009,AERIAL APPLICATION,N4025,1.0,0.0,1.0,0.0,0.0,VMC
MKC85LA019,Airplane,False,CESSNA R172E,Substantial,No,APPROACH,United States,RECIPROCATING,1984-11-09,20001214X41647,Part 91: General Aviation,0.0,0.0,Non-Fatal,Accident,"JUNCTION CITY, KS",CESSNA,R172E,1.0,02-05-2011,PERSONAL,N13030,0.0,0.0,1.0,0.0,1.0,VMC
